Gas_node_from ,Gas_node_to ,distance ,Cost ,index_from ,index_to
            1 ,          2 ,       2 ,   2 ,         1 ,       2
            1 ,          3 ,       5 ,   2 ,         1 ,       3
            1 ,          4 ,       7 ,   2 ,         1 ,       4
            2 ,          1 ,       2 ,   3 ,         2 ,       1
            2 ,          3 ,       3 ,   3 ,         2 ,       3
            2 ,          4 ,       5 ,   3 ,         2 ,       4
            3 ,          1 ,       5 ,   1 ,         3 ,       1
            3 ,          2 ,       3 ,   1 ,         3 ,       2
            3 ,          4 ,       6 ,   1 ,         3 ,       4
            4 ,          1 ,       7 ,   3 ,         4 ,       1
            4 ,          2 ,       5 ,   3 ,         4 ,       2
            4 ,          3 ,       6 ,   3 ,         4 ,       3
            4 ,          5 ,       2 ,   3 ,         4 ,       5
            5 ,          4 ,       2 ,   1 ,         5 ,       4
            3 ,          5 ,       7 ,   1 ,         3 ,       5
            5 ,          3 ,       7 ,   1 ,         5 ,       3
            6 ,          4 ,       3 ,   2 ,         6 ,       4
            4 ,          6 ,       3 ,   3 ,         4 ,       6
            6 ,          3 ,       5 ,   2 ,         6 ,       3
            3 ,          6 ,       5 ,   1 ,         3 ,       6
            7 ,          2 ,       6 ,   4 ,         7 ,       2
            2 ,          7 ,       6 ,   3 ,         2 ,       7
            7 ,          5 ,       2 ,   4 ,         7 ,       5
            5 ,          7 ,       2 ,   1 ,         5 ,       7
            8 ,          1 ,       8 ,   3 ,         8 ,       1
            1 ,          8 ,       8 ,   2 ,         1 ,       8
            8 ,          3 ,       3 ,   3 ,         8 ,       3
            3 ,          8 ,       3 ,   1 ,         3 ,       8
            8 ,          6 ,       5 ,   3 ,         8 ,       6
            6 ,          8 ,       5 ,   2 ,         6 ,       8
            9 ,          3 ,       4 ,   5 ,         9 ,       3
            3 ,          9 ,       4 ,   1 ,         3 ,       9
            9 ,          4 ,       2 ,   5 ,         9 ,       4
            4 ,          9 ,       2 ,   3 ,         4 ,       9
            9 ,          5 ,       1 ,   5 ,         9 ,       5
            5 ,          9 ,       1 ,   1 ,         5 ,       9
            10 ,         5 ,       4 ,   1 ,         10 ,      1
            5 ,          10 ,      4 ,   1 ,         5 ,       10
            10 ,         6 ,       6 ,   1 ,         10 ,      6
            6 ,          10 ,      6 ,   2 ,         6 ,       10
            10 ,         3 ,       4 ,   1 ,         10 ,      3
            3 ,          10 ,      4 ,   1 ,         3 ,       10
